Idno,Username,created_at,tweets,followers,friends,Label,Tweet
30380,Aaaaa13802977,04-02-18 12:43,10,1549722,97,1,"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs ‹¨«1.50 each"
43706,colosio19,04-02-18 12:32,0,1087377,11,0,"Sure, I'll see if I can come by in a bit"
44602,MartaBurini,04-02-18 12:30,1,1242014,15,1,"complimentary 4 STAR Ibiza Holiday or ‹¨«10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+"
33908,Arian58052526,04-02-18 12:40,0,425797,137,0,"As in missionary hook up, doggy hook up, standing...|"
14249,EScimonelli,04-02-18 12:36,0,427926,122,0,I have a rather prominent bite mark on my right cheek
6512,Stefano59307810,04-02-18 12:35,0,346934,143,0,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8"""
31417,Simona98361602,04-02-18 12:36,0,2601858,101,0,"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home."
34164,Franchef_kr,04-02-18 12:36,0,502467,182,0,I wonder if you'll get this text?
32169,Daniela75656680,04-02-18 12:36,0,1204773,61,0,Will you come online today night
24624,SalhiChadi,04-02-18 12:34,0,1258173,120,0,Ew are you one of them?
41177,IoriiNocola,04-02-18 12:31,0,149073,84,0,Shall i come to get pickle
39705,Mefreh8,04-02-18 12:26,2,1293451,108,0,"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well."
37824,ber_fili,04-02-18 12:24,0,541644,17,0,I'm in a movie... Collect car oredi...
40933,Riccard24921248,04-02-18 12:23,0,185506,32,1,"Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs"
47168,MerloHome,04-02-18 12:22,1,1796619,103,0,No chikku nt yet.. Ya i'm free
9861,igwe74106961,04-02-18 12:21,0,755116,32,0,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x"
7738,giovann31965285,04-02-18 12:23,0,784966,114,0,"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park."
14457,titinsbell,05-12-13 8:05,0,520519,26,0,Dear where you. Call me
3421,Louis26922150,14-01-18 15:54,7,248829,4,0,Moji i love you more than words. Have a rich day
39424,lorotro,14-02-17 21:17,2,414951,8,0,"Yes but i dont care! I need you bad, princess!"
15841,GiuliaPanepucci,25-12-16 15:24,7,501371,14,0,Not tonight mate. Catching up on some sleep. This is my new number by the way. 
42850,aleselli1,28-01-18 10:57,0,2138294,7,1,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play ‹¨«250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088"
1551,Paolopomella221,04-02-18 12:08,0,859439,87,1,Free msg: Single? Find a partner in your area! 1000s of real people are waiting to chat now!Send CHAT to 62220Cncl send STOPCS 08717890890‹¨«1.50 per msg
21933,Sara57559780,04-02-18 12:07,0,85247,155,0,Also where's the piece
5636,alleroncaglia,04-02-18 12:03,1,1223076,156,0,Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.
40819,t4rantinomodz,04-02-18 12:02,2,346566,199,1,Ringtone Club: Gr8 new polys direct to your mobile every week !
2723,Sebasti81094766,04-02-18 12:02,0,2009972,68,0,"K I'll head out in a few mins, see you there"
44231,Happysong521,04-02-18 11:57,0,1080764,63,0,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part."
13694,Khaled90417825,04-02-18 11:58,0,1461767,143,0,Super da:)good replacement for murali
43085,Leo_Cecca77,02-02-18 17:27,1,675908,92,0,I thank you so much for all you do with selflessness. I love you plenty.
6476,Alen63732810,25-06-15 13:49,202,322895,88,0,That's the way you should stay oh.
21209,ESE_71,26-05-10 15:22,1074,175061,1150,0,You stayin out of trouble stranger!!saw Dave the other day he‹¨«‹¨«s sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA! 
36991,IlCommentAle,04-02-18 11:50,0,426716,137,0,Yes i have. So that's why u texted. Pshew...missing you so much
30672,Pask9311,28-01-11 13:47,1717,2149306,1661,0,Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been? 
3729,CesconeNicolott,04-02-18 11:42,0,67472,44,0,Great! I shoot big loads so get ready!
4814,OwenSylvester3,05-01-17 9:36,66,829700,584,1,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
28372,Samuele00681478,04-02-18 11:41,0,825727,69,0,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment
24452,Mary96761787,04-02-18 11:42,0,337177,62,0,No way I'm going back there!
47662,stevenmn68,26-05-13 8:58,8,772055,130,0,I love ya too but try and budget your money better babe. Gary would freak on me if he knew
49498,Andrea_Petta7,17-02-12 20:16,30,817365,23,0,No need to ke qi... ‹¨«‹¨« too bored izzit y suddenly thk of this...
6214,MartaMiceli7,04-02-18 11:39,0,446426,126,0,No calls..messages..missed calls
5633,manuelfdez1961,10-05-15 14:33,468,571183,203,0,Were somewhere on Fredericksburg
43752,sanchoberti1,04-02-18 11:39,0,591500,112,0,Now got tv 2 watch meh? U no work today?
8878,brichesevania,06-09-12 12:49,2,423002,7,0,I just really need shit before tomorrow and I know you won't be awake before like 6
44084,Vany_Montalto,04-02-18 11:31,0,1128907,52,0,"Thank you. And by the way, I just lost."
46298,ErikaIzzo2,04-02-18 11:28,0,961860,59,0,You'd like that wouldn't you? Jerk!
31560,Sabrinapisu,15-03-11 8:29,56,362297,481,0,Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!
42975,SantanielloM5S,04-02-18 11:21,0,1327059,9,1,As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP
31626,dreiselespinal,04-02-18 11:23,0,121053,49,0,Hey now am free you can call me.
29331,civi_culture,04-02-18 11:19,0,331632,177,0,I'm going 2 orchard now laready me reaching soon. U reaching?
16637,jasminehoward26,04-02-18 11:20,0,1865296,172,0,NO GIFTS!! You trying to get me to throw myself off a cliff or something?
31396,Valerione4444,15-11-12 15:14,0,594239,16,0,Yeah just open chat and click friend lists. Then make the list. Easy as pie
4220,imno_superman,04-02-18 11:07,2,1134153,74,0,Gettin rdy to ship comp
17612,TuminoSalvo,04-02-18 11:14,0,824676,86,0,"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?"
30675,sardus,14-08-15 20:55,6,374480,24,0,Hey what happen de. Are you alright.
5404,piero_barbara,04-02-18 11:05,3,1707804,82,0,"Miss ya, need ya, want ya, love ya."
33603,StCrispino,04-02-18 11:01,0,421256,20,0,Oooh bed ridden ey? What are YOU thinking of?
45139,sciapiede,04-02-18 10:46,5,457502,70,0,I though we shd go out n have some fun so bar in town or something ‹¨«‹¨«‹¨« sound ok?
1799,MonterossoPal,04-05-15 9:32,4,878934,78,0,Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.
30311,albertomagni9,04-02-18 7:00,1,514866,6,0,Are you there in room.
32385,Pina29463383,04-02-18 10:56,0,465887,18,0,Asking do u knw them or nt? May be ur frnds or classmates?
7229,abianchidespi,01-03-14 21:36,0,324765,65,1,More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. A‹¨«1.50 minAPN LS278BB
24534,massimo_girelli,04-02-18 10:51,0,565661,68,0,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
1508,imbrogiano_v,04-02-18 10:55,0,770535,117,0,But pls dont play in others life.
4665,ALL_AROUND_TW,13-11-16 21:14,29,274875,112,0,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x
18401,GiuseppeElia14,04-02-18 10:43,0,2652018,169,0,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay
32128,francescopiostr,24-08-17 17:00,6,1288969,435,0,Pick you up bout 7.30ish? What time are  and that going?
35940,MarsigliaRoset1,04-02-18 10:39,0,302633,157,1,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
29767,fvalla,12-09-08 23:31,828,535211,1025,0,Ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly! Love me xxx
21427,ursavurd1949,03-02-18 11:05,0,134757,1,0,Great. So should i send you my account number.
37525,Mindina6,04-02-18 10:27,0,1852272,20,1,**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270
4073,nicola_gravina,15-03-15 13:46,1,207484,205,0,Wylie update: my weed dealer carlos went to freedom and had a class with lunsford
22666,fabrizio_satta,04-02-18 10:23,14,1739112,91,0,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.
32704,pfguerrieri,27-12-13 15:23,1,1029203,18,0,Much better now thanks lol
35828,MiccicheValter,04-02-18 10:23,0,697007,120,0,Aiyo please ‹¨«_ got time meh.
34394,brachylogistico,13-12-17 21:22,1,151098,10,0,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor..."
49817,GenghiLetizia,04-02-18 10:17,0,220488,125,0,Oh yeah! And my diet just flew out the window
7150,Hjjjjj54064870,04-02-18 10:18,0,572789,48,0,Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house
38761,Muhamma51995423,04-02-18 10:12,2,372334,115,0,Does she usually take fifteen fucking minutes to respond to a yes or no question
45884,andrea_unali,04-02-18 10:10,1,1372290,96,0,Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx
41536,danilorotella,04-02-18 9:59,3,1422862,24,0,Shant disturb u anymore... Jia you...
20741,CorkovicTamara,04-02-18 10:03,1,293595,44,0,Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.
38899,f2nTt2FVVjb4sjb,04-02-18 10:05,1,1278824,193,0,Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.
47787,RFormicone,04-02-18 10:07,0,659652,118,1,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
46701,Mollinaz,13-02-14 21:08,83,108623,303,0,Yo im right by yo work
2357,suckingmy701,04-02-18 10:05,0,521201,47,0,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?"
43981,Fortisluca93,04-02-18 9:55,3,1519266,186,1,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r
23290,erikbarbaic60,04-02-18 10:00,0,977377,60,0,Ok. I only ask abt e movie. U wan ktv oso?
44321,Gianluc82953734,04-02-18 9:58,2,165823,144,0,Hey whats up? U sleeping all morning?
1102,monegaromagnolz,19-09-14 12:40,1,505361,43,1,"For ur chance to win a ‹¨«250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
27154,Vito36770617,04-02-18 9:52,2,1076499,117,0,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...
5502,sabihademir824,04-02-18 9:53,1,1089830,67,0,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748
38700,armandocristia8,18-12-14 16:08,80,1272899,421,0,Ok both our days. So what are you making for dinner tonite? Am I invited?
12087,Stiven72001893,04-02-18 9:49,0,287639,131,0,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai.........."
46001,annamar45411692,04-02-18 9:42,3,276694,11,0,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola"
1444,Antonio58799589,04-02-18 9:42,0,276242,66,0,Happy New Year Princess!
46761,giorgionelucian,05-02-12 15:47,433,331744,120,0,Headin towards busetop
1282,CEMASResearch,04-02-18 9:38,2,337972,78,0,Now only i reached home. . . I am very tired now. . I will come tomorro
2845,Frances71841596,24-09-17 14:25,2,511431,22,0,Hi Princess! Thank you for the pics. You are very pretty. How are you?
36078,Denise62772081,04-02-18 9:36,1,571210,145,0,But we havent got da topic yet rite?
17513,teenhotte450,04-02-18 9:35,0,442493,77,0,Oh k...i'm watching here:)
16051,GiorgioSilicani,04-02-18 9:28,0,308528,17,0,I just lov this line: \Hurt me with the truth
43646,cricollarini,06-03-14 18:54,51,1258713,118,0,"Cool, I'll text you in a few"
3511,MimmoPeccerillo,04-02-18 9:26,2,514693,151,0,I don't know but I'm raping dudes at poker
19970,Giuseppe240,04-02-18 9:28,0,542580,22,0,Some of them told accenture is not confirm. Is it true.
44707,BlueVelvetInk1,04-02-18 9:28,0,234884,82,0,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.
4569,ammendolea62,04-02-18 8:31,0,1001350,19,0,Raviyog Peripherals bhayandar east
48963,rk_dm8,04-02-18 9:15,3,95643,81,0,I cant pick the phone right now. Pls send a message
11602,_lucamartucci_,28-12-17 9:41,35,326118,274,0,Umma my life and vava umma love you lot dear
36980,Jyumbert,10-01-14 21:16,268,1024814,120,0,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes
16939,Sal_Nicoletti,10-09-09 11:23,4,999480,12,0,Okay... We wait ah
16765,AldoPastore5,04-02-18 9:04,0,207369,165,0,Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.
16298,Nisociso,15-12-10 17:17,0,570621,60,0,"Not for possession, especially not first offense"
41635,teentwink414,04-02-18 9:05,0,1748928,66,0,Ok. So april. Cant wait
35582,pepperacano,02-03-12 18:44,26,516113,49,0,"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore"
23082,LFerraiolo,14-12-11 7:51,17,840624,130,0,"I guess you could be as good an excuse as any, lol."
22279,llane_sandri,04-02-18 8:54,2,505362,84,0,"If you want to mapquest it or something look up \usf dogwood drive\"""
42150,pyrosonline,10-02-12 12:04,10798,893010,418,0,Thats cool princess! I will cover your face in hot sticky cum :)
15948,Angelo01043515,04-02-18 8:59,0,169505,67,0,Exactly. Anyways how far. Is jide her to study or just visiting
